Gene,Log2change,p-value,adj_pvalue
ADDG,0.392429536437007,5.99724994564544e-07,3.55220617547438e-06
ADH1A,-1.9655109546229,2.84951894050446e-19,4.31115453822204e-17
ADH1B,-1.92220622285515,7.28181092635623e-18,7.49152708103529e-16
ADH1G,-1.67650618252202,6.09887601862703e-14,2.13904215271483e-12
ADH4,-2.35049724708413,6.72325361184057e-21,2.2254164770274e-18
ADH6,-2.01258476294911,1.51420320273249e-18,1.79747567881291e-16
ADH7,-0.827301187049895,0.00016948194721443,0.000547393346465693
ADHX,-0.877417594665262,2.4539762922848e-16,1.61836590352731e-14
ADIPO,1.24736186611344,0.00243363057640271,0.00584981106776427
ADIRF,-0.0571147307525656,0.639171614106339,0.702138766675316
ADK,-1.11376983219567,5.87749799093152e-15,2.71561523940285e-13
ADNP,0.156809495796367,0.0387459125088112,0.0649073949018644
ADPGK,0.0866275336437304,0.445705247026797,0.521284344907668
ADPPT,-0.122964209842338,0.0385421777772355,0.0646222172379724
ADPRH,0.0400493559560689,0.586988412129027,0.65545623559878
ADRM1,0.0295065993360238,0.834024027080745,0.870109436581264
ADRO,0.0314276636068135,0.721787940452457,0.777946046728755
ADSV,1.23320580836842,0.00018301929983809,0.00058586346639037
ADT1,-0.785856843449519,6.48242367424158e-11,1.02918479568823e-09
ADT2,-0.691619920094258,3.81926632933895e-13,1.11626738625679e-11
ADT3,-0.191759712921312,0.111843430781601,0.162032277865346
ADX,-0.425370140663537,4.35988093554642e-05,0.000165148950901699
AEBP1,0.824384984182163,8.22295678170386e-10,9.85222585832717e-09
AEDO,0.39731230737205,0.00928584203737591,0.0188615883812355
AES,0.517252509102991,0.00742144348145257,0.0155692925238956
AF10,0.0254739407897674,0.911406446652032,0.932556974190038
AFAD,0.0453143526794991,0.233799585673657,0.304659624789427
AFAM,0.624084981602352,6.77517576683148e-11,1.06688277993616e-09
AFAP1,0.861178044212377,1.13301969265458e-06,6.25349066417936e-06
AFG32,-0.248766765940116,1.98773970224264e-05,8.20544363584583e-05
AFTIN,0.293711840440701,0.00265887986167248,0.00633598425344807
AGAL,0.603403922864114,4.47663454763655e-06,2.15750856774289e-05
AGAP3,0.304964222185236,0.00025213407363226,0.000776943495266181
AGFG1,0.243076772072621,0.00434192966696739,0.00970238323496101
AGFG2,-0.113825829519074,0.280679812922253,0.355503190497062
AGK,-0.115864251677248,0.0339090659207679,0.0579112946561931
AGM1,-0.268828400929802,0.0006579024389965,0.00182932440335027
AGO1,0.0044855719408982,0.91393489743991,0.934648332491232
AGO2,0.0925971567226239,0.162473578853559,0.223108406199335
AGO3,0.193318839510184,0.00155449435103843,0.00391336979204324
AGR2,0.136593027082705,0.454303883942343,0.529758012467753
AGRA2,0.49571460306456,0.00010312854993206,0.000352721583012312
AGRE2,0.863966194292606,0.00181892220631198,0.00451764400025309
AGRF5,-0.18094729759781,0.0544005900662781,0.087503638305483
AGRIN,0.593582289162614,4.66940896732125e-09,4.66095208174007e-08
AGRL2,0.107948936673699,0.248206486580828,0.320421825407005
AGT2,-0.925239145774182,6.08490435100558e-19,8.38412892363554e-17
AHDC1,-0.330830277969702,0.00083221429544677,0.00225218378735939
AHNK,0.574333095958919,4.38234805780653e-12,1.00042004775252e-10
AHR,0.0276990296087924,0.614510502942469,0.681259057572427
AHSA1,0.0216730213827317,0.853552096918495,0.886168996208707
AHSP,0.341702302372425,0.101701890857668,0.14944425630504
AIDA,0.402412215115079,1.9139410495313e-07,1.27640182698215e-06
AIF1,0.240536594114126,0.0824687184068876,0.124819268581315
AIFM1,-0.343134892593451,4.20106884481126e-05,0.000159446370912758
AIFM2,0.0388772108720576,0.599735074651578,0.667179330451496
AIG1,-1.02870139318123,7.1529818834076e-06,3.290936650801e-05
AIM1,0.480766617028904,0.124719308326591,0.177963929690228
AIMP1,0.0811459824189413,0.12815354031691,0.182172571312689
AIMP2,-0.0729907022161985,0.0971772024114867,0.143836426972383
AINX,0.844199227563806,5.22727944611858e-07,3.14370134109516e-06
AIP,-0.130325996902426,0.012379211546297,0.0241940213503616
AK17A,0.192362101627229,0.125064722484401,0.178340306540314
AK1A1,-0.696084646604783,1.37337761619462e-14,5.69730198202026e-13
AK1BA,1.13105471230438,3.20678403437031e-06,1.59430061914957e-05
AK1BF,0.31868704940101,0.173539759572524,0.236327706470454
AK1C1,-0.543142466467213,1.98861840319229e-05,8.20544363584583e-05
AK1C2,-0.724102773129453,0.00037246241133661,0.00110069703786797
AK1C3,-0.482124431222346,0.00010777757074498,0.00036698122317757
AK1C4,-1.11767243805424,8.53109882950932e-19,1.07911407489334e-16
AK1D1,-1.48227676973617,8.04715715317006e-19,1.0524044846417e-16
AKA11,-0.323380446051216,0.12825346393849,0.18228103292492
AKA12,-0.0647173321429202,0.37177763071901,0.449418173057791
AKA7A,0.608800728384585,0.0026643447194514,0.00634704657464866
AKA7G,0.0438917991728681,0.689942088064924,0.749485168451211
AKAP1,-0.027653740570856,0.756327649198934,0.807186440266895
AKAP2,0.097620234787406,0.183931382427438,0.247982517599048
AKAP8,0.22018134344458,0.0101011950877479,0.0203023759565154
AKAP9,-0.126182592571991,0.013967061230891,0.0269529595932295
AKIB1,0.144552855972599,0.136526154943576,0.192302995900809
AKIP,0.619240205529812,0.00150447279328308,0.00380108450326531
AKNA,-0.232127782058033,0.0243169012275955,0.0433624242829043
AKP13,0.128822600107223,0.108290071792105,0.157802869489685
AKP8L,0.153094512111244,0.0621171938646785,0.0982768644371251
AKT1,-0.200342384855934,0.0270100178091002,0.0475061083690488
AKT2,-0.490443824924541,9.53198916181167e-10,1.12459982221007e-08
AKT3,0.552952460326888,0.0134608208333185,0.0260702042042885
AKTIP,-0.391398201956444,3.94274169916554e-05,0.000150903744795443
AKTS1,-0.185407346432909,0.0388713045353222,0.0650750674320994
AL1A1,-0.875717951154772,7.96205387848095e-20,1.53588019315898e-17
AL1A2,-1.4594929974479,1.14086108059985e-09,1.31386329819529e-08
AL1A3,0.016295198610832,0.892521282049673,0.917215015420269
AL1B1,-0.6492751498205,0.00032759712832371,0.000981265311391982
AL1L1,-1.54334046982604,8.50242278867398e-14,2.86483380949382e-12
AL1L2,0.501267922448154,1.0405147103707e-06,5.79264899366545e-06
